                                                                   VALUE
CATEGORY       ITEM                                                     
GENERAL        Annual growth rate %                                45.01
               Average annual citations per document                 1.9
               Average citations per document                      20.94
               Average documents per source                         1.84
               Average references per document                    199.61
               Documents                                            1967
               Document average age                                 2.96
               Number of sources                                    1069
               Timespan                                        2016:2026
               Total cited references                             392632
DOCUMENT TYPES Article                                               737
               Book                                                   15
               Book chapter                                          153
               Conference paper                                      753
               Conference review                                       3
               Data paper                                              2
               Editorial                                               1
               Erratum                                                 1
               Letter                                                  3
               Note                                                    3
               Retracted                                               7
               Review                                                286
               Short survey                                            3
AUTHORS        Author appearances                                   8528
               Average authors per document                         4.34
               Average authors per multi-authored documents         4.61
               Collaboration index                                  4.61
               Documents per author appearance                      0.23
               Internationally co-authored documents %              25.1
               Number of authors                                    7383
               Number of authors of single-authored documents        111
               Number of multi-authored documents                   1822
               Number of single-authored documents                   120
AFFILIATIONS   Number of countries                                   100
               Number of countries (1st author)                       87
               Number of organizations                              2345
               Number of organizations (1st author)                 1222
               Number of regions                                       5
               Number of subregions                                   15
KEYWORDS       Number of author keywords (norm)                     3996
               Number of author keywords (raw)                      4692
               Number of index keywords (norm)                      7628
               Number of index keywords (raw)                       8845
               Number of keywords (norm)                            8999
               Number of keywords (raw)                            10979
NLP            Number of SpaCy NP phrases                          35518
               Number of TextBlob NP phrases                       29610
               Number of abstract NP phrases (raw))                39284
               Number of title NP phrases (raw)                     4524
               Number of NP phrases (raw)                          41445
               Number of concepts (raw)                            47795
               Number of concepts (norm)                           35493
