0	1	2	3	4	5	6	7	8	9
food products	neural networks	food ingredients	nutrition	big data	food intake	artificial intelligence	food industry	food recommendation	mobile applications
machine learning	deep learning	food ontology	food recommendation system	consumer	disease	food supply	meat	recipe	personalized diet recommendations
learning algorithms	convolutional neural network	nutrient	health	food safety	patient	decision making	food processing	restaurant	meal
learning systems	computer vision	internet of things	eating habits	data mining	user profile	management	food microbiology	supermarket	user interfaces
cook	food image recognition	agriculture	collaborative filtering	food quality evaluation	chronic diseases	food chain	food contamination	eating behavior	healthy diet
chemometrics	food image	cloud computing	healthy lifestyle	food supply chain	website	data integration	fruit	menus	fast food
sensor	convolution	nutritive value	food preference	quality	healthy	taste	vegetable	user preferences	calorie intake
vector machine	food category	healthcare	prototype	food quality and safety	nutritional information	decision support systems	animal	healthy food	nutritionist
food waste	food items	predictive analytics	world health organization	data analytics	chronic kidney disease	food security	food handling	recipe recommendation	older adults
computer software	deep neural networks	information systems	human computer interaction	big data applications	health conditions	schedule	hierarchy		
concentration	diabete	personalization	online recipes	catering service	specialist	student			
multivariate analysis	obesity	semantic web	habit	big data analytics	dietary planning	configuration			
food authentication	calorie	social media	intelligent systems	food traceability	patient treatment				
machine learning approaches	mobile phone	semantic	prevention	purchase					
decision tree	image classification	natural language processing systems							
diversity	food image classification	knowledge based systems							
sensory analysis	food detection	social networking online							
chemistry	mobile amyloid precursor protein	food production							
thermal processing foods	food image datasets	suggestion							
food science	color	interoperability							
geographical origin	texture	information retrieval							
farm	shape	search engines							
raw materials	dietary assessment	education							
cheese	classification accuracy	internet of food							
random forest	mobile devices	food information							
k-nearest neighbor	interface	knowledge graph							
compound	calorie estimation	knowledge management							
machine learning models	beverage	store							
food storage	nutritional status	amyloid precursor protein							
molecule	food computing								
dimensional	food additives								
composition	food recognition using convolutional neural network								
competitiveness									
consumed food									
discriminant analysis									
infrared devices									
food quality control									
infrared spectroscopy									
