0	1	2	3	4	5	6	7	8
artificial intelligence	deep learning	food products	machine learning	food recommendation	nutrition	food computing	health	nutritional information
big data	convolutional neural network	quality	vector machine	food recommendation system	food intake	data mining	healthy food	eating habits
food industry	neural networks	detection	random forest	food ingredients	disease	semantic	social media	nutritional content
food safety	computer vision	food analysis	restaurant	recipe	diabete	food ontology	text	cuisine
food supply chain	food image recognition	fruit	predictive analytics	decision making	obesity	natural language processing	healthy	diversity
food supply	food image	vegetable	machine learning models	cook	healthy diet	knowledge graph	sentiment analysis	personalized recommendation
consumer	learning systems	meat	machine learning approaches	user preferences	patient	food science	food choices	accessibility
internet of things	food items	chemometrics	k-nearest neighbor	meal	nutritive value	safety engineering	healthiness	flavor
food quality evaluation	learning algorithms	food authentication	sale	recipe recommendation	chronic diseases	public health	menus	cross validation
food waste	convolution	food adulteration	decision tree	collaborative filtering	healthy lifestyle	natural language processing systems	consumer behavior	classification models
agriculture	calorie	spectroscopy	machine learning methods	taste	decision support systems	food data	perception	popularity
food production	food category	food microbiology	data handling	food dataset	health conditions	health risk	twitter	
food processing	nutrient	food composition	supervised machine learning	website	cancer	text data		
food security	food image classification	food control	food demand forecasting	content-based filtering	balanced diet	entity		
sensor	mobile applications	animal	price	food preference	diabetic patients			
big data analytics	transfer learning	infrared spectroscopy	electronic nose	culture	calorie intake			
covid-19	deep neural networks	food fraud	machine learning applications	suggestion	k-means clustering			
blockchain	image classification	hyperspectral imaging	nearest neighbor search	healthcare	body multi agent systems index			
data analytics	carbohydrate	pathogen	extreme gradient boosting	agricultural practices	health problems			
food traceability	calorie estimation	network analysis	data visualization	personalized diet recommendations	dietary planning			
businesse	multilayer neural networks	food spoilage	e-learn	personalize				
data science	dietary assessment	multivariate analysis	forestry	personalization				
sustainable development	deep learning methods	compound	household	kitchen				
management	multilayer perceptron	food informatics						
industry 40	fat	fruits and vegetables						
climate change	data augmentation	packaged food						
computer software	grain							
agri-food	image enhancement							
practitioner	deep learning algorithms							
big data technology	mobile phone							
agricultural robots	residual neural network							
shelf life	object detection							
waste management	texture							
temperature	neural networks computer							
digital technologies	classification accuracy							
environmental	mean average precision							
digitalization	image segmentation							
food delivery	food detection							
food insecurity	color							
industrial revolution	object recognition							
artificial intelligence and machine learning	shape							
digital transformation	dietitian							
food quality and safety	water							
policymaker	explainability							
population statistics	mobile devices							
transportation	segmentation							
agri food industry	deep learning approach							
artificial intelligence applications	intelligent systems							
outbreak	explainable artificial intelligence							
food chain	classification algorithm							
crop	nutritional assessment							
information management								
operation								
robotic								
waste								
logistic								
food waste reduction								
robot								
drone								
farmer								
accident prevention								
digital twin								
food sector								
processed foods								
circular economy								
machine								
catering service								
farm								
marketing								
sustainable development goals								
digital storage								
genetic algorithms								
food processing industry								
resilience								
food business								
power								
income								
food storage								
