| ABSTR_RAW                      | ABSTR_TOK                      | ABSTR_UPPER                    | AFFIL                                                                            | ART_NO   | AUTHID                                                                           | AUTHKW_NORM                    | AUTHKW_RAW                     | AUTHKW_TOK                     | AUTH_FIRST     | AUTH_FULL_NAME                 | AUTH_NORM                      | AUTH_RAW                       | AUTH_WITH_AFFIL                                                                  |   CAS_REG_NO | CODEN   | CONCEPT_NORM                   | CONCEPT_RAW                    |   CONF_CODE | CONF_DATE                      | CONF_LOC       | CONF_NAME                      | CORRESPOND_ADDR                | CTRY                           | CTRY_FIRST           | CTRY_ISO3     | CTRY_ISO3_FIRST   | DATABASE   | DOCTYPE          | DOI                            | EDITOR                         | EID                 | FUND_DET                       | FUND_SPONS                     | FUND_TXT                       | GCR_FREE_TEXT                  |   GCR_WOS_FORMAT_RAW |   GCS | IDXKW_NORM                     | IDXKW_RAW                      | IDXKW_TOK                      | ISBN                           |             ISSN |   ISSUE | KW_NORM                        | KW_TOK                         | LANG    |   LCS |   MANUFACTURER | NP_ABSTR_RAW                   | NP_GENSIM                      | NP_KNOWN                       | NP_RAW                         | NP_SPACY                       | NP_TEXTBLOB                    | NP_TITLE_RAW                   | NP_YAKE                        |   N_AUTH |   N_GCR |   N_LCR | OA                             | ORG                                                                              | ORG_FIRST                   |   PG_FIRST |   PG_LAST | PUBLISHER                      |        PUBMED | PUBSTAGE         | REC_ID                                             |   REC_NO | REC_SHORT_NAME                 | REGION                 | SCOPUS_LINK                    | SRC                            | SRC_ISO4                       | SUBREGION                      | TITLE_RAW                      | TITLE_TOK                      | TITLE_UPPER                    |   TRADENAME | VOL       |   YEAR | _MARKED_   | _SELECTED_   |
|:-------------------------------|:-------------------------------|:-------------------------------|:---------------------------------------------------------------------------------|:---------|:---------------------------------------------------------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:---------------|:-------------------------------|:-------------------------------|:-------------------------------|:---------------------------------------------------------------------------------|-------------:|:--------|:-------------------------------|:-------------------------------|------------:|:-------------------------------|:---------------|:-------------------------------|:-------------------------------|:-------------------------------|:---------------------|:--------------|:------------------|:-----------|:-----------------|:-------------------------------|:-------------------------------|:--------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|---------------------:|------:|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|-----------------:|--------:|:-------------------------------|:-------------------------------|:--------|------:|---------------:|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|---------:|--------:|--------:|:-------------------------------|:---------------------------------------------------------------------------------|:----------------------------|-----------:|----------:|:-------------------------------|--------------:|:-----------------|:---------------------------------------------------|---------:|:-------------------------------|:-----------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|------------:|:----------|-------:|:-----------|:-------------|
| Zero-Shot Detection, the abili | zero shot detection , the abil | ZERO_SHOT_DETECTION , the_abil | School of Computer Science and Artificial Intelligence, Ludong University, Yanta | 112928   | 60244570000; 55534079100; 55427123000; 59398892200; 36599662900; 57149888800; 82 | fine grained features; food co | fine-grained features; food co | fine grained features; food co | Wang X/4       | Xinlong Wang; Weiqing Min; Guo | Wang X/4; Min W; Sheng G; Song | Wang X/4; Min W; Sheng G; Song | Wang X., School of Computer Science and Artificial Intelligence, Ludong Universi |          nan | PTNRA   | adaptive multi scale fusion; a | adaptive multi scale fusion; a |         nan | nan                            | nan            | nan                            | G. Sheng; School of Computer S | China                          | China                | CHN           | CHN               | Scopus     | Article          | 10.1016/j.patcog.2025.112928   | nan                            | 2-s2.0-105025151530 | Natural Science Foundation of  | nan                            | The study was supported by the | Min W.; Jiang S.; Liu L.; Rui  |                  nan |     1 | feature extraction; object det | feature extraction; object det | feature extraction; object det | nan                            | 313203           |     nan | contextualization; feature ext | contextualization; feature ext | English |     0 |            nan | zero shot detection; detect no | 1; a; a; ability; able; addres | benchmark; challenges; compreh | adaptive multi scale fusion; a | ability; appearances; challeng | adaptive multi scale fusion; c | llm; global local contextualiz | contextual text feature enhanc |        7 |       0 |       0 | nan                            | INST COMPUT TECHNOL; LUDONG UNIV; UNIV CHIN ACAD SCI                             | LUDONG UNIV                 |        nan |       nan | Elsevier Ltd                   | nan           | Final            | Wang X/4, 2026, PATTERN RECOGN, V173, DOI 10.1016/ |        1 | Wang X/4, 2026, PATTERN RECOGN | Asia                   | https://www.scopus.com/pages/p | PATTERN RECOGNITION            | PATTERN RECOGN                 | Eastern Asia                   | LLM-informed global-local cont | llm informed global local cont | LLM informed GLOBAL_LOCAL_CONT |         nan | 173       |   2026 | False      | True         |
| Creating recipe images is a ke | creating recipe images is a ke | creating RECIPE_IMAGES is a KE | Jilin University, Changchun, China; Guangdong University of Technology, Guangzho | nan      | 58963907700; 59974315000; 59743468500; 57219311048; 59974991400; 50662015600; 24 | food computing; recipe image g | food computing; recipe image g | food computing; recipe image g | Zhang R        | Ruoxuan Zhang; Jidong Gao; Bin | Zhang R; Gao J/2; Wen B; Xie H | Zhang R; Gao J/2; Wen B; Xie H | Zhang R., Jilin University, Changchun, China; Gao J., Guangdong University of Te |          nan | nan     | alignment; applications; bench | alignment; applications; bench |      214411 | 27 October 2025 through 31 Oct | Dublin         | 33rd ACM International Confere | H. Xie; Jilin University, Chan | China; Taiwan                  | China                | CHN; TWN      | CHN               | Scopus     | Conference paper | 10.1145/3746027.3758203        | nan                            | 2-s2.0-105024075126 | National Natural Science Found | nan                            | This work was funded by the Na | Achiam J.; Adler S.; Agarwal S |                  nan |     0 | cooking; education computing;  | cooking; education computing;  | cooking; education computing;  | 979-840072035-2                |    nan           |     nan | cooking; education computing;  | cooking; education computing;  | English |     0 |            nan | recipe images; key challenge;  | 1; a; a; able; age; al; al; al | applications; benchmark; bench | alignment; applications; bench | acm; applications; benchmark r | assess ingredient fidelity; be | recipegen; step; multimodal be | applications in culinary; appl |        7 |       0 |       0 | nan                            | GUANGDONG UNIV TECHNOL; JILIN UNIV; NATL TAIWAN UNIV; NATL YANG MING CHIAO TUNG  | JILIN UNIV                  |      12659 |     12665 | Association for Computing Mach | nan           | Final            | Zhang R, 2025, MM - PROC ACM INT CONF MULTIMED CO- |        2 | Zhang R, 2025, MM - PROC ACM I | Asia                   | https://www.scopus.com/pages/p | MM 2025 - PROCEEDINGS OF THE 3 | MM - PROC ACM INT CONF MULTIME | Eastern Asia                   | RecipeGen: A Step-Aligned Mult | recipegen : a step aligned mul | RECIPEGEN : a STEP aligned MUL |         nan | nan       |   2025 | False      | True         |
| Public interest in where food  | public interest in where food  | PUBLIC_INTEREST in where FOOD  | Food Systems Lab, Department of Environmental Science and Policy, University of  | 6556     | 6701673504; 7005726286; 58220957100; 16041793400; 56648290800; 7005465157; 15053 | assessment workflow; democrati | assessment workflow; democrati | assessment workflow; democrati | Tomich TP      | Thomas P. Tomich; Casey Hoy; M | Tomich TP; Hoy C; Dimock MR; H | Tomich TP; Hoy C; Dimock MR; H | Tomich T.P., Food Systems Lab, Department of Environmental Science and Policy, U |          nan | nan     | acceptance; adoption; assessme | acceptance; adoption; assessme |         nan | nan                            | nan            | nan                            | T.P. Tomich; Food Systems Lab, | United States                  | United States        | USA           | USA               | Scopus     | Review           | 10.3390/su15086556             | nan                            | 2-s2.0-85156184140  | UC Davis Food Systems Lab team | nan                            | We are grateful to the US Nati | Godfray H.C.J.; Beddington J.R |                  nan |     8 | covid-19; democratization; foo | covid-19; democratization; foo | covid-19; democratization; foo | nan                            |      2.0711e+07  |       8 | assessment workflow; covid-19; | assessment workflow; covid-19; | English |     0 |            nan | public interest; food; greater | 1; a; a; ability; able; aim; a | acceptance; article; benchmark | acceptance; adoption; capacity | acceptance; adoption; article; | complex systems; concrete benc | food systems informatics; intr | connected regional food; conne |       10 |       0 |       0 | All Open Access; Gold Open Acc | INT CENT FOOD ONTOL OPERABILITY DATA SEMANT; OHIO STATE UNIV; PUBLIC HEAL INST;  | UNIV CALIF                  |        nan |       nan | MDPI                           | nan           | Final            | Tomich TP, 2023, SUSTAIN, V15, DOI 10.3390/su15086 |        3 | Tomich TP, 2023, SUSTAIN       | Americas               | https://www.scopus.com/pages/p | SUSTAINABILITY (SWITZERLAND)   | SUSTAIN                        | Northern America               | Why Do We Need Food Systems In | why do we need food systems in | why do we need FOOD_SYSTEMS_IN |         nan | 15        |   2023 | False      | True         |
| The purpose of this study is t | the purpose of this study is t | the_purpose_of_this_study_is_t | Division of Global Affairs, Rutgers University, NJ, United States; Hyundai Resea | e10998   | 57411723500; 57225997911                                                         | data science; eco-friendly foo | data science; eco-friendly foo | data science; eco-friendly foo | Han S          | Seungwoo Han; Yookyung Lee     | Han S; Lee Y                   | Han S; Lee Y                   | Han S., Division of Global Affairs, Rutgers University, NJ, United States; Lee Y |          nan | nan     | analysis; big data; buying beh | analysis; big data; buying beh |         nan | nan                            | nan            | nan                            | Y. Lee; Hyundai Research Insti | South Korea; United States     | United States        | KOR; USA      | USA               | Scopus     | Article          | 10.1016/j.heliyon.2022.e10998  | nan                            | 2-s2.0-85139733301  | nan                            | nan                            | nan                            | Ajzen I., The theory of planne |                  nan |    28 | nan                            | nan                            | nan                            | nan                            |      2.40584e+07 |      10 | data science; eco-friendly foo | data science; eco-friendly foo | English |     0 |            nan | social class; lifestyle; consu | a; a; able; addition; al; al;  | actors; areas; behavior; big d | analysis; big data; buying beh | addition; analysis; big data;  | big data; consumer behavior; e | analysis; social class; lifest | analyze the impact; class and  |        2 |       0 |       0 | All Open Access; Gold Open Acc | HYUNDAI RES INST; RUTGERS UNIV                                                   | RUTGERS UNIV                |        nan |       nan | Elsevier Ltd                   | nan           | Final            | Han S, 2022, HELIYON, V8, DOI 10.1016/j.heliyon.20 |        4 | Han S, 2022, HELIYON           | Americas; Asia         | https://www.scopus.com/pages/p | HELIYON                        | HELIYON                        | Eastern Asia; Northern America | Analysis of the impacts of soc | analysis of the impacts of soc | ANALYSIS of the_impacts_of SOC |         nan | 8         |   2022 | False      | True         |
| In light of the present circum | in light of the present circum | in_light_of the present CIRCUM | Arab Academy for Science, Technology and Maritime Transport, Alexandria, Egypt;  | nan      | 57709747600; 59450898000; 59452168900; 58025395900; 58491994800; 58174939800     | big data application; food sup | big data application; food sup | big data application; food sup | Elkady G       | Ghada Elkady; Ahmed Sayed; Rup | Elkady G; Sayed A; Mukherjee R | Elkady G; Sayed A; Mukherjee R | Elkady G., Arab Academy for Science, Technology and Maritime Transport, Alexandr |          nan | nan     | academics; analysis; bd; bd ap | academics; analysis; bd; bd ap |         nan | nan                            | nan            | nan                            | G. Elkady; Arab Academy for Sc | Egypt; India; United States    | Egypt                | EGY; IND; USA | EGY               | Scopus     | Book chapter     | 10.2174/9789815256680124010016 | nan                            | 2-s2.0-85210703927  | nan                            | nan                            | nan                            | Alfian G.; Ijaz M.F.; Syafrudi |                  nan |     5 | nan                            | nan                            | nan                            | 978-981525668-0; 978-981525669 |    nan           |     nan | big data application; food sup | big data application; food sup | English |     0 |            nan | circumstances; corporate execu | 1; a; a; able; able; age; al;  | aging; applications; big data; | academics; analysis; bd; bd ap | academics; analysis; bd applic | bd applications; big data; cir | critical investigation; big da | analysis of crucial data; chai |        6 |       0 |       0 | nan                            | DEP MANAG STUD PSNACET; KL UNIV; [UNKNOWN]                                       | [UNKNOWN]                   |        204 |       214 | Bentham Science Publishers     | nan           | Final            | Elkady G, 2024, ADV TECHNOL REALIZ SUSTAIN DEV GOA |        5 | Elkady G, 2024, ADV TECHNOL RE | Africa; Americas; Asia | https://www.scopus.com/pages/p | ADVANCED TECHNOLOGIES FOR REAL | ADV TECHNOL REALIZ SUSTAIN DEV | Northern Africa; Northern Amer | A critical investigation into  | a critical investigation into  | a CRITICAL_INVESTIGATION into  |         nan | nan       |   2024 | False      | True         |
| Today’s challenges and demands | today s challenges and demands | TODAY s CHALLENGES and DEMANDS | Department of Physics, Chemistry and Biology, Linköping University, Linköping, 5 | nan      | 52464344000; 37089743900; 35366342000                                            | cancer diagnostics; electronic | cancer diagnostics; electronic | cancer diagnostics; electronic | Puglisi D      | Donatella Puglisi; Ivan Shtepl | Puglisi D; Shtepliuk I; Erikss | Puglisi D; Shtepliuk I; Erikss | Puglisi D., Department of Physics, Chemistry and Biology, Linköping University,  |          nan | nan     | accuracy; advanced analytics;  | accuracy; advanced analytics;  |      342249 | 11 February 2025 through 14 Fe | Trento         | 23rd Italian Conference on Sen | D. Puglisi; Department of Phys | Sweden                         | Sweden               | SWE           | SWE               | Scopus     | Conference paper | 10.1007/978-3-032-08271-8_63   | Di Natale C.; Lorenzelli L.; M | 2-s2.0-105021804397 | National Science Foundation, N | nan                            | This work was supported by the | Jung H.-T., The present and fu |                  nan |     0 | advanced analytics; diagnosis; | advanced analytics; diagnosis; | advanced analytics; diagnosis; | 978-303208270-1                |      1.87611e+07 |     nan | advanced analytics; cancer dia | advanced analytics; cancer dia | English |     0 |            nan | today; challenges; demands; vi | a; a; able; accuracy; achieve; | adaptive boosting; analytic; a | accuracy; application; availab | application; available machine | available machine learning mod | integration of machine learnin | advanced and economically viab |        3 |       0 |       0 | nan                            | LINKÖPING UNIV; [UNKNOWN]                                                        | LINKÖPING UNIV              |        399 |       403 | Springer Science and Business  | nan           | Final            | Puglisi D, 2025, LECT NOTES ELECTR ENG, V1497 LNEE |        6 | Puglisi D, 2025, LECT NOTES EL | Europe                 | https://www.scopus.com/pages/p | LECTURE NOTES IN ELECTRICAL EN | LECT NOTES ELECTR ENG          | Northern Europe                | Integration of Machine Learnin | integration of machine learnin | INTEGRATION_OF_MACHINE_LEARNIN |         nan | 1497 LNEE |   2025 | False      | True         |
| Food plays an important role i | food plays an important role i | FOOD plays_an_important_role_i | Division of Information and Computing Technology, College of Science and Enginee | nan      | 57224538279; 57211796595; 58592673000; 36190422500; 55465891600; 21741495700; 57 | applications; caloric estimati | applications; caloric estimati | applications; caloric estimati | Gilal NU/1     | Nauman Ullah Gilal; Khaled Al- | Gilal NU/1; Al-Thelaya K; Al-S | Gilal NU/1; Al-Thelaya K; Al-S | Gilal N.U., Division of Information and Computing Technology, College of Science |          nan | MTAPF   | adaptive learning schemes; app | adaptive learning schemes; app |         nan | nan                            | nan            | nan                            | M. Agus; Division of Informati | Pakistan; Qatar                | Qatar                | PAK; QAT      | QAT               | Scopus     | Article          | 10.1007/s11042-023-16513-4     | nan                            | 2-s2.0-85171474196  | Hamad Bin Khalifa University,  | nan                            | nan                            | You tweet what you eat: Studyi |                  nan |    19 | convolutional neural networks; | convolutional neural networks; | convolutional neural networks; | nan                            |      1.38075e+07 |      11 | applications; caloric estimati | applications; caloric estimati | English |     0 |            nan | food; lives; mere sustenance;  | 1; a; a; able; address; addres | affect; applications; artifici | adaptive learning schemes; app | 100 papers; adaptive learning  | adaptive learning schemes; art | machine learning technologies; | data; data set perspective; de |        8 |       0 |       0 | All Open Access; Green Open Ac | HAMAD BIN KHALIFA UNIV; SHAHEED ZULFIKAR ALI BHUTTO INST SCI TECHNOL             | HAMAD BIN KHALIFA UNIV      |      32041 |     32068 | Springer                       | nan           | Final            | Gilal NU/1, 2024, MULTIMED TOOLS APPL, V83, P32041 |        7 | Gilal NU/1, 2024, MULTIMED TOO | Asia                   | https://www.scopus.com/pages/p | MULTIMEDIA TOOLS AND APPLICATI | MULTIMED TOOLS APPL            | Southern Asia; Western Asia    | Evaluating machine learning te | evaluating machine learning te | evaluating MACHINE_LEARNING_TE |         nan | 83        |   2024 | False      | True         |
| Online food delivery (OFD) has | online food delivery ( ofd ) h | ONLINE_FOOD_DELIVERY ( OFD ) h | College of Business and Economics, United Arab Emirates University, Al Ain, Unit | nan      | 58663229300; 58244574300; 6508147381                                             | data analytics; data science p | data analytics; data science p | data analytics; data science p | Al Akasheh M   | Mariam Al Akasheh; Nehal Eleya | Al Akasheh M; Eleyan N; Ertek  | Al Akasheh M; Eleyan N; Ertek  | Al Akasheh M., College of Business and Economics, United Arab Emirates Universit |          nan | nan     | benchmarking; best algorithm;  | benchmarking; best algorithm;  |      187260 | 28 November 2022 through 1 Dec | Milan          | 9th International Conference o | nan                            | United Arab Emirates           | United Arab Emirates | ARE           | ARE               | Scopus     | Conference paper | 10.1109/SNAMS58071.2022.100626 | Ceravolo P.; Guetl C.; Jararwe | 2-s2.0-85158918885  | nan                            | nan                            | nan                            | Li C.; Mirosa M.; Bremer P., R |                  nan |     7 | benchmarking; e-learning; mach | benchmarking; e-learning; mach | benchmarking; e-learning; mach | 979-835032048-0                |    nan           |     nan | benchmarking; data analytics;  | benchmarking; data analytics;  | English |     0 |            nan | online food delivery; ofd; pro | a; a; able; al; al; all; analy | algorithm; algorithms; analyti | best algorithm; case study; cl | best algorithm; classification | classification; college campus | predictive data analytics meth | analytics methodology; analyti |        3 |       0 |       0 | nan                            | AIN UNIV; UNITED ARAB EMIR UNIV                                                  | UNITED ARAB EMIR UNIV       |        nan |       nan | Institute of Electrical and El | nan           | Final            | Al Akasheh M, 2022, INT CONF SOC NETWORKS ANAL MAN |        8 | Al Akasheh M, 2022, INT CONF S | Asia                   | https://www.scopus.com/pages/p | 2022 9TH INTERNATIONAL CONFERE | INT CONF SOC NETWORKS ANAL MAN | Western Asia                   | A Predictive Data Analytics Me | a predictive data analytics me | a PREDICTIVE_DATA_ANALYTICS_ME |         nan | nan       |   2022 | False      | True         |
| Food waste is a complex issue  | food waste is a complex issue  | FOOD_WASTE is a COMPLEX_ISSUE  | Department of Nutrition, Dietetics and Food, Monash University, Level 1, 264 Fer | 13788    | 57217253045; 6603342131; 7102633426; 57211532738; 57193918553                    | emotion analysis; food waste;  | emotion analysis; food waste;  | emotion analysis; food waste;  | Jenkins EL     | Eva L. Jenkins; Dickson Lukose | Jenkins EL; Lukose D; Brennan  | Jenkins EL; Lukose D; Brennan  | Jenkins E.L., Department of Nutrition, Dietetics and Food, Monash University, Le |          nan | nan     | australian tweets; big picture | australian tweets; big picture |         nan | nan                            | nan            | nan                            | E.L. Jenkins; Department of Nu | Australia                      | Australia            | AUS           | AUS               | Scopus     | Article          | 10.3390/su151813788            | nan                            | 2-s2.0-85172997592  | Fight Food Waste Cooperative R | nan                            | This work was funded by an Aus | UNEP Food Waste Index Report 2 |                  nan |    12 | exploration; food waste; langu | exploration; food waste; langu | exploration; food waste; langu | nan                            |      2.0711e+07  |      18 | emotion analysis; exploration; | emotion analysis; exploration; | English |     0 |            nan | food waste; complex issue; nov | 1; a; a; age; aim; al; al; all | aging; allocation; application | australian tweets; big picture | 13 key topics; areas; australi | australian tweets; big picture | food waste conversations; soci | analysis of twitter data; comp |        5 |       0 |       0 | All Open Access; Gold Open Acc | MONASH UNIV; RMIT UNIV; TABCORP HOLDINGS LTD                                     | MONASH UNIV                 |        nan |       nan | Multidisciplinary Digital Publ | nan           | Final            | Jenkins EL, 2023, SUSTAIN, V15, DOI 10.3390/su1518 |        9 | Jenkins EL, 2023, SUSTAIN      | Oceania                | https://www.scopus.com/pages/p | SUSTAINABILITY (SWITZERLAND)   | SUSTAIN                        | Australia and New Zealand      | Exploring Food Waste Conversat | exploring food waste conversat | exploring FOOD_WASTE_CONVERSAT |         nan | 15        |   2023 | False      | True         |
